frame,left_knee_flexion,right_knee_flexion,left_hip_flexion,right_hip_flexion,left_ankle_flexion,right_ankle_flexion
305,170.85535,178.41562,178.35979,157.6976,74.70241,93.402664
306,170.91525,173.02245,179.18385,157.1593,78.54337,103.4486
307,165.23567,173.15857,178.63312,158.72318,84.140785,107.010704
308,165.51817,169.57248,178.42679,160.77219,92.14155,102.31504
309,160.46074,169.59753,179.72304,164.7313,106.11752,100.20977
310,154.50829,171.39563,177.17845,165.35194,119.98393,100.34608
311,145.78893,175.01271,172.86554,169.3904,130.53227,100.7559
312,141.40288,175.14948,169.4071,165.52405,133.85255,99.05088
313,137.51677,175.74,170.08017,167.10922,124.54863,99.27543
314,134.8786,177.99258,165.15953,172.8215,123.27192,99.90971
315,137.37901,179.64557,165.9451,177.54893,127.7757,111.40801
316,138.67337,174.54076,164.31474,174.19147,118.77419,104.03634
317,139.57037,169.96825,161.05792,174.30276,111.81818,107.337746
318,146.15497,168.32562,161.09428,176.09134,109.833954,101.83894
319,154.1533,167.93639,160.33029,175.40678,96.69542,98.6678
320,164.75787,171.36243,161.92348,177.14035,94.150085,93.103516
321,175.51987,170.4215,161.85376,179.64062,91.92099,89.16775
322,178.72174,170.50328,162.85483,177.14088,90.60346,91.58097
323,175.29218,169.99744,163.96211,177.09708,90.46564,87.788666
324,173.49867,170.63501,160.75551,177.03957,93.567604,82.83893
325,171.12137,173.46231,162.1355,170.35402,100.82801,75.59993
326,175.04048,168.05713,157.51422,174.67805,92.61137,90.8168
327,174.06537,167.73718,159.27557,173.11438,105.83161,92.368996
328,176.95122,163.59949,159.90791,174.28525,95.43145,112.300415
329,177.23076,160.67975,160.71112,171.29073,95.704025,128.9244
330,179.56433,156.2144,159.6849,173.2055,92.45976,141.38278
331,177.2606,151.18106,161.0135,175.91913,91.65239,152.091
332,175.40709,145.92651,161.4923,179.73532,86.54809,156.59906
333,174.15077,144.05212,163.79335,179.38039,84.21599,155.57947
334,171.89854,140.61069,165.55196,176.19516,79.51349,147.31871
335,169.29413,147.49934,162.23627,177.77426,79.74126,150.01437
336,171.00253,150.16132,164.75342,175.14659,79.92342,148.60866
337,172.78528,157.54936,169.33601,179.83806,80.33647,170.93008
338,173.88367,165.54489,171.23737,177.40912,80.320496,105.10456
339,171.52318,173.64275,171.04962,179.04059,83.530365,104.80379
340,172.58234,178.68417,176.32106,175.79843,106.24145,143.43306
341,170.16356,176.57181,175.41006,179.7553,81.07813,116.56508
342,169.29175,170.95015,174.82588,177.96674,80.93115,112.37862
343,169.06732,169.96596,175.83781,175.46156,79.73651,104.15642
344,167.15915,166.8188,175.58522,172.78067,76.26247,102.03432
345,169.79703,168.74815,178.54007,169.9009,78.534584,100.70622
346,171.2408,171.98296,179.61284,169.03166,78.80566,101.504906
347,172.72594,176.20485,178.8293,163.18024,80.905914,104.50274
348,174.36911,174.53032,176.83849,165.06845,84.76561,117.206856
349,173.3129,170.90369,175.00906,164.55263,88.81371,108.478935
350,169.4849,176.96913,177.0014,171.23128,102.0534,112.41839
351,161.65202,178.85773,177.89903,171.68451,112.333694,115.05598
352,161.1552,178.94667,179.13406,174.77063,122.02337,110.326904
353,144.23624,179.084,170.21361,172.51334,123.26306,104.54793
354,138.87537,179.68596,166.32529,172.128,125.933655,117.839226
355,137.25978,178.07175,166.85468,177.28487,123.16416,111.26978
356,135.30142,175.27531,162.29297,141.983,112.45135,141.98347
357,138.02734,173.82288,161.29929,143.2232,120.245255,145.24814
